
Alpha

~/ensino/private/E2/Alpha ~/ensino/private
Kappa |asl140 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl141 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl142 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl143 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl144 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl145 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl146 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl147 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl148 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl149 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl14 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl150 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl15 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl16 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl17 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl18 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl19 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl20 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl21 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl22 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl23 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl24 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl25 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl26 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl27 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl28 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl29 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl30 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl31 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl32 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl33 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl34 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl35 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl36 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl37 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl38 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl39 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl40 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl41 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl42 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl43 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl44 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl45 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl46 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl47 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl48 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl49 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl50 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl51 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl52 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl53 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl54 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl55 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl56 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl57 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl58 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl59 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl60 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl61 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl62 - NOK - "-- Invalid input. Retorno: 1"
Kappa |asl63 - NOK - "-- Invalid input. Retorno: 1"
Kappa |asl64 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl65 - NOK - "-- Invalid input. Retorno: 1"
Kappa |asl66 - NOK - "-- Invalid input. Retorno: 1"
Kappa |asl67 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl68 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl69 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl70 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl71 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl72 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl73 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl74 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl75 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl76 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl77 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl78 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl79 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl80 - NOK - "-- Invalid input. Retorno: 1"
Kappa |asl81 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl82 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl83 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl84 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl85 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl86 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl87 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl88 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl89 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl90 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl91 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl92 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl93 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl94 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl95 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl96 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl97 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl98 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl99 - OK - "-- Invalid input. Retorno: 1"
~/ensino/private

Omega

~/ensino/private/E2/Omega ~/ensino/private
Omega |asl01 - OK - ""
Omega |asl02 - OK - ""
Omega |asl03 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: ["
Omega |asl04 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: ["
Omega |asl05 - OK - ""
Omega |asl06 - OK - ""
Omega |asl07 - OK - ""
Omega |asl08 - OK - ""
Omega |asl09 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl100 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: f"
Omega |asl101 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: s"
Omega |asl102 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl103 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ;"
Omega |asl104 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ["
Omega |asl105 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ["
Omega |asl106 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl107 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl108 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl109 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl10 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: v"
Omega |asl110 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl111 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl112 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl113 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl114 - OK - ""
Omega |asl115 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: ="
Omega |asl116 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: <"
Omega |asl117 - OK - " syntax error:Erro na linha de numero: 7 ultimo token lido: a"
Omega |asl118 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: a"
Omega |asl119 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: ;"
Omega |asl11 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: "
Omega |asl120 - OK - "litnumberlitnumber syntax error:Erro na linha de numero: 4 ultimo token lido: ;"
Omega |asl121 - OK - "litnumber syntax error:Erro na linha de numero: 4 ultimo token lido: 1"
Omega |asl122 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: {"
Omega |asl123 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: )"
Omega |asl124 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: {"
Omega |asl125 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: ;"
Omega |asl126 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: s"
Omega |asl127 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: s"
Omega |asl128 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: t"
Omega |asl129 - OK - ""
Omega |asl12 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: <"
Omega |asl130 - OK - " syntax error:Erro na linha de numero: 5 ultimo token lido: x"
Omega |asl131 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: f"
Omega |asl132 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: f"
Omega |asl133 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: :"
Omega |asl134 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: +"
Omega |asl135 - OK - "litnumber syntax error:Erro na linha de numero: 3 ultimo token lido: )"
Omega |asl136 - OK - "litnumberlitnumber syntax error:Erro na linha de numero: 3 ultimo token lido: ;"
Omega |asl137 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: <"
Omega |asl138 - OK - ""
Omega |asl139 - OK - ""
Omega |asl13 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl140 - OK - ""
Omega |asl141 - OK - ""
Omega |asl142 - OK - ""
Omega |asl143 - OK - ""
Omega |asl144 - OK - ""
Omega |asl145 - OK - ""
Omega |asl146 - OK - "litnumber"
Omega |asl147 - OK - ""
Omega |asl148 - OK - ""
Omega |asl149 - OK - "litnumber"
Omega |asl14 - OK - " syntax error:Erro na linha de numero: 5 ultimo token lido: c"
Omega |asl150 - NOK - "litnumber syntax error:Erro na linha de numero: 3 ultimo token lido: +"
Omega |asl15 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl16 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl17 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl18 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl19 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl20 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: c"
Omega |asl21 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl22 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl23 - OK - " syntax error:Erro na linha de numero: 5 ultimo token lido: c"
Omega |asl24 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl25 - OK - ""
Omega |asl26 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: ;"
Omega |asl27 - NOK - " syntax error:Erro na linha de numero: 3 ultimo token lido: ("
Omega |asl28 - OK - ""
Omega |asl29 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: ["
Omega |asl30 - OK - ""
Omega |asl31 - NOK - " syntax error:Erro na linha de numero: 4 ultimo token lido: {"
Omega |asl32 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: {"
Omega |asl33 - OK - ""
Omega |asl34 - OK - " syntax error:Erro na linha de numero: 8 ultimo token lido: i"
Omega |asl35 - OK - ""
Omega |asl36 - OK - ""
Omega |asl37 - OK - ""
Omega |asl38 - OK - ""
Omega |asl39 - OK - ""
Omega |asl40 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: ["
Omega |asl41 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: c"
Omega |asl42 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: c"
Omega |asl43 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: <"
Omega |asl44 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: <"
Omega |asl45 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl46 - OK - "litnumber"
Omega |asl47 - NOK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ["
Omega |asl48 - NOK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ["
Omega |asl49 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: c"
Omega |asl50 - OK - ""
Omega |asl51 - OK - ""
Omega |asl52 - OK - ""
Omega |asl53 - OK - ""
Omega |asl54 - OK - ""
Omega |asl55 - OK - " syntax error:Erro na linha de numero: 7 ultimo token lido: ."
Omega |asl56 - OK - "litnumber"
Omega |asl57 - OK - "litnumber"
Omega |asl58 - OK - ""
Omega |asl59 - OK - ""
Omega |asl60 - OK - ""
Omega |asl61 - OK - " syntax error:Erro na linha de numero: 7 ultimo token lido: c"
Omega |asl62 - OK - ""
Omega |asl63 - OK - ""
Omega |asl64 - OK - " syntax error:Erro na linha de numero: 7 ultimo token lido: f"
Omega |asl65 - OK - "litnumberlitnumberlitnumberlitnumber"
Omega |asl66 - OK - ""
Omega |asl67 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: d"
Omega |asl68 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: o"
Omega |asl69 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: c"
Omega |asl70 - OK - "litnumber syntax error:Erro na linha de numero: 8 ultimo token lido: s"
Omega |asl71 - OK - "litnumber syntax error:Erro na linha de numero: 9 ultimo token lido: d"
Omega |asl72 - OK - " syntax error:Erro na linha de numero: 13 ultimo token lido: %"
Omega |asl73 - OK - " syntax error:Erro na linha de numero: 13 ultimo token lido: %"
Omega |asl74 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: %"
Omega |asl75 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: ("
Omega |asl76 - OK - "litnumber"
Omega |asl77 - NOK - "litnumber syntax error:Erro na linha de numero: 5 ultimo token lido: ["
Omega |asl78 - NOK - "litnumberlitnumber syntax error:Erro na linha de numero: 4 ultimo token lido: ("
Omega |asl79 - OK - "litnumber"
Omega |asl80 - NOK - " syntax error:Erro na linha de numero: 6 ultimo token lido: ="
Omega |asl81 - NOK - " syntax error:Erro na linha de numero: 7 ultimo token lido: ["
Omega |asl82 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ;"
Omega |asl83 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ;"
Omega |asl84 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: f"
Omega |asl85 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: ;"
Omega |asl86 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: )"
Omega |asl87 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: a"
Omega |asl88 - OK - " syntax error:Erro na linha de numero: 5 ultimo token lido: ="
Omega |asl89 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: ;"
Omega |asl90 - OK - " syntax error:Erro na linha de numero: 7 ultimo token lido: ,"
Omega |asl91 - OK - " syntax error:Erro na linha de numero: 7 ultimo token lido: ,"
Omega |asl92 - OK - "litnumber syntax error:Erro na linha de numero: 4 ultimo token lido: +"
Omega |asl93 - OK - "litnumber syntax error:Erro na linha de numero: 4 ultimo token lido: ="
Omega |asl94 - OK - " syntax error:Erro na linha de numero: 4 ultimo token lido: !"
Omega |asl95 - OK - " syntax error:Erro na linha de numero: 6 ultimo token lido: c"
Omega |asl96 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl97 - OK - " syntax error:Erro na linha de numero: 3 ultimo token lido: c"
Omega |asl98 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ["
Omega |asl99 - OK - " syntax error:Erro na linha de numero: 2 ultimo token lido: ["
~/ensino/private

Omicron

~/ensino/private/E2/Omicron ~/ensino/private
Omicron |asl01 - OK - ""
Omicron |asl02 - OK - ""
Omicron |asl03 - OK - ""
Omicron |asl04 - OK - ""
Omicron |asl05 - OK - ""
Omicron |asl06 - OK - ""
Omicron |asl07 - OK - ""
Omicron |asl08 - OK - ""
Omicron |asl09 - OK - ""
Omicron |asl100 - OK - ""
Omicron |asl101 - OK - ""
Omicron |asl102 - OK - ""
Omicron |asl103 - OK - ""
Omicron |asl104 - OK - ""
Omicron |asl105 - OK - ""
Omicron |asl106 - OK - ""
Omicron |asl107 - OK - ""
Omicron |asl108 - OK - ""
Omicron |asl109 - OK - ""
Omicron |asl10 - OK - ""
Omicron |asl110 - OK - ""
Omicron |asl111 - OK - ""
Omicron |asl112 - OK - ""
Omicron |asl113 - OK - ""
Omicron |asl114 - NOK - ""
Omicron |asl115 - OK - ""
Omicron |asl116 - OK - ""
Omicron |asl117 - OK - ""
Omicron |asl118 - OK - ""
Omicron |asl119 - OK - ""
Omicron |asl11 - OK - ""
Omicron |asl120 - OK - ""
Omicron |asl121 - OK - ""
Omicron |asl122 - OK - ""
Omicron |asl123 - OK - ""
Omicron |asl124 - OK - ""
Omicron |asl125 - OK - ""
Omicron |asl126 - OK - ""
Omicron |asl127 - OK - ""
Omicron |asl128 - OK - ""
Omicron |asl129 - OK - ""
Omicron |asl12 - OK - ""
Omicron |asl130 - OK - ""
Omicron |asl131 - OK - ""
Omicron |asl132 - OK - ""
Omicron |asl133 - OK - ""
Omicron |asl134 - OK - ""
Omicron |asl135 - OK - ""
Omicron |asl136 - OK - ""
Omicron |asl137 - OK - ""
Omicron |asl138 - OK - ""
Omicron |asl139 - OK - ""
Omicron |asl13 - OK - ""
Omicron |asl140 - OK - ""
Omicron |asl141 - OK - ""
Omicron |asl142 - OK - ""
Omicron |asl143 - OK - ""
Omicron |asl144 - OK - ""
Omicron |asl145 - OK - ""
Omicron |asl146 - OK - ""
Omicron |asl147 - OK - ""
Omicron |asl148 - OK - ""
Omicron |asl149 - OK - ""
Omicron |asl14 - OK - ""
Omicron |asl150 - OK - ""
Omicron |asl15 - OK - ""
Omicron |asl16 - OK - ""
Omicron |asl17 - OK - ""
Omicron |asl18 - OK - ""
Omicron |asl19 - OK - ""
Omicron |asl20 - OK - ""
Omicron |asl21 - OK - ""
Omicron |asl22 - OK - ""
Omicron |asl23 - OK - ""
Omicron |asl24 - OK - ""
Omicron |asl25 - OK - ""
Omicron |asl26 - OK - ""
Omicron |asl27 - OK - ""
Omicron |asl28 - OK - ""
Omicron |asl29 - OK - ""
Omicron |asl30 - OK - ""
Omicron |asl31 - OK - ""
Omicron |asl32 - OK - ""
Omicron |asl33 - OK - ""
Omicron |asl34 - OK - ""
Omicron |asl35 - OK - ""
Omicron |asl36 - OK - ""
Omicron |asl37 - OK - ""
Omicron |asl38 - OK - ""
Omicron |asl39 - OK - ""
Omicron |asl40 - OK - ""
Omicron |asl41 - OK - ""
Omicron |asl42 - OK - ""
Omicron |asl43 - OK - ""
Omicron |asl44 - OK - ""
Omicron |asl45 - OK - ""
Omicron |asl46 - OK - ""
Omicron |asl47 - OK - ""
Omicron |asl48 - OK - ""
Omicron |asl49 - OK - ""
Omicron |asl50 - OK - ""
Omicron |asl51 - OK - ""
Omicron |asl52 - OK - ""
Omicron |asl53 - OK - ""
Omicron |asl54 - OK - ""
Omicron |asl55 - OK - ""
Omicron |asl56 - OK - ""
Omicron |asl57 - OK - ""
Omicron |asl58 - OK - ""
Omicron |asl59 - OK - ""
Omicron |asl60 - OK - ""
Omicron |asl61 - OK - ""
Omicron |asl62 - OK - ""
Omicron |asl63 - OK - ""
Omicron |asl64 - OK - ""
Omicron |asl65 - OK - ""
Omicron |asl66 - OK - ""
Omicron |asl67 - OK - ""
Omicron |asl68 - OK - ""
Omicron |asl69 - OK - ""
Omicron |asl70 - OK - ""
Omicron |asl71 - OK - ""
Omicron |asl72 - OK - ""
Omicron |asl73 - OK - ""
Omicron |asl74 - OK - ""
Omicron |asl75 - OK - ""
Omicron |asl76 - OK - ""
Omicron |asl77 - OK - ""
Omicron |asl78 - OK - ""
Omicron |asl79 - OK - ""
Omicron |asl80 - OK - ""
Omicron |asl81 - OK - ""
Omicron |asl82 - OK - ""
Omicron |asl83 - OK - ""
Omicron |asl84 - OK - ""
Omicron |asl85 - OK - ""
Omicron |asl86 - OK - ""
Omicron |asl87 - OK - ""
Omicron |asl88 - OK - ""
Omicron |asl89 - OK - ""
Omicron |asl90 - OK - ""
Omicron |asl91 - OK - ""
Omicron |asl92 - OK - ""
Omicron |asl93 - OK - ""
Omicron |asl94 - OK - ""
Omicron |asl95 - OK - ""
Omicron |asl96 - OK - ""
Omicron |asl97 - OK - ""
Omicron |asl98 - OK - ""
Omicron |asl99 - OK - ""
~/ensino/private

Psi

~/ensino/private/E2/Psi ~/ensino/private
Psi |asl01 - NOK - "syntax error"
Psi |asl02 - NOK - "syntax error"
Psi |asl03 - NOK - "syntax error"
Psi |asl04 - NOK - "syntax error"
Psi |asl05 - OK - ""
Psi |asl06 - OK - ""
Psi |asl07 - OK - ""
Psi |asl08 - OK - ""
Psi |asl09 - OK - "syntax error"
Psi |asl100 - OK - "syntax error"
Psi |asl101 - OK - "syntax error"
Psi |asl102 - OK - "syntax error"
Psi |asl103 - OK - "syntax error"
Psi |asl104 - OK - "syntax error"
Psi |asl105 - OK - "syntax error"
Psi |asl106 - OK - "syntax error"
Psi |asl107 - OK - "syntax error"
Psi |asl108 - OK - "syntax error"
Psi |asl109 - OK - "syntax error"
Psi |asl10 - OK - "syntax error"
Psi |asl110 - OK - "syntax error"
Psi |asl111 - OK - "syntax error"
Psi |asl112 - OK - "syntax error"
Psi |asl113 - OK - "syntax error"
Psi |asl114 - NOK - "syntax error"
Psi |asl115 - OK - "syntax error"
Psi |asl116 - OK - "syntax error"
Psi |asl117 - OK - "syntax error"
Psi |asl118 - OK - "syntax error"
Psi |asl119 - OK - "syntax error"
Psi |asl11 - OK - "syntax error"
Psi |asl120 - OK - "syntax error"
Psi |asl121 - OK - "syntax error"
Psi |asl122 - OK - "syntax error"
Psi |asl123 - OK - "syntax error"
Psi |asl124 - OK - "syntax error"
Psi |asl125 - OK - "syntax error"
Psi |asl126 - OK - "syntax error"
Psi |asl127 - OK - "syntax error"
Psi |asl128 - OK - "syntax error"
Psi |asl129 - NOK - "syntax error"
Psi |asl12 - OK - "syntax error"
Psi |asl130 - OK - "syntax error"
Psi |asl131 - OK - "syntax error"
Psi |asl132 - OK - "syntax error"
Psi |asl133 - OK - "syntax error"
Psi |asl134 - OK - "syntax error"
Psi |asl135 - OK - "syntax error"
Psi |asl136 - OK - "syntax error"
Psi |asl137 - OK - "syntax error"
Psi |asl138 - OK - ""
Psi |asl139 - OK - ""
Psi |asl13 - OK - "syntax error"
Psi |asl140 - OK - ""
Psi |asl141 - OK - ""
Psi |asl142 - OK - ""
Psi |asl143 - OK - ""
Psi |asl144 - OK - ""
Psi |asl145 - OK - ""
Psi |asl146 - OK - ""
Psi |asl147 - OK - ""
Psi |asl148 - OK - ""
Psi |asl149 - OK - ""
Psi |asl14 - OK - "syntax error"
Psi |asl150 - NOK - "syntax error"
Psi |asl15 - OK - "syntax error"
Psi |asl16 - OK - "syntax error"
Psi |asl17 - OK - "syntax error"
Psi |asl18 - OK - "syntax error"
Psi |asl19 - OK - "syntax error"
Psi |asl20 - OK - "syntax error"
Psi |asl21 - OK - "syntax error"
Psi |asl22 - OK - "syntax error"
Psi |asl23 - OK - "syntax error"
Psi |asl24 - OK - "syntax error"
Psi |asl25 - OK - ""
Psi |asl26 - OK - "syntax error"
Psi |asl27 - OK - ""
Psi |asl28 - OK - ""
Psi |asl29 - OK - "syntax error"
Psi |asl30 - OK - ""
Psi |asl31 - OK - ""
Psi |asl32 - OK - ""
Psi |asl33 - OK - ""
Psi |asl34 - OK - "syntax error"
Psi |asl35 - OK - ""
Psi |asl36 - OK - ""
Psi |asl37 - OK - ""
Psi |asl38 - OK - ""
Psi |asl39 - OK - ""
Psi |asl40 - OK - "syntax error"
Psi |asl41 - OK - ""
Psi |asl42 - OK - ""
Psi |asl43 - OK - ""
Psi |asl44 - OK - ""
Psi |asl45 - OK - "syntax error"
Psi |asl46 - OK - ""
Psi |asl47 - OK - ""
Psi |asl48 - OK - ""
Psi |asl49 - OK - "syntax error"
Psi |asl50 - OK - ""
Psi |asl51 - OK - ""
Psi |asl52 - OK - ""
Psi |asl53 - OK - ""
Psi |asl54 - OK - ""
Psi |asl55 - OK - "syntax error"
Psi |asl56 - OK - ""
Psi |asl57 - OK - ""
Psi |asl58 - OK - ""
Psi |asl59 - OK - ""
Psi |asl60 - OK - ""
Psi |asl61 - OK - "syntax error"
Psi |asl62 - NOK - "syntax error"
Psi |asl63 - NOK - "syntax error"
Psi |asl64 - OK - "syntax error"
Psi |asl65 - OK - ""
Psi |asl66 - OK - ""
Psi |asl67 - OK - "syntax error"
Psi |asl68 - OK - "syntax error"
Psi |asl69 - OK - "syntax error"
Psi |asl70 - OK - "syntax error"
Psi |asl71 - OK - "syntax error"
Psi |asl72 - OK - "syntax error"
Psi |asl73 - OK - "syntax error"
Psi |asl74 - OK - "syntax error"
Psi |asl75 - OK - "syntax error"
Psi |asl76 - OK - ""
Psi |asl77 - OK - ""
Psi |asl78 - OK - ""
Psi |asl79 - OK - ""
Psi |asl80 - NOK - "syntax error"
Psi |asl81 - NOK - "syntax error"
Psi |asl82 - OK - "syntax error"
Psi |asl83 - OK - "syntax error"
Psi |asl84 - OK - "syntax error"
Psi |asl85 - OK - "syntax error"
Psi |asl86 - OK - "syntax error"
Psi |asl87 - OK - "syntax error"
Psi |asl88 - OK - "syntax error"
Psi |asl89 - OK - "syntax error"
Psi |asl90 - OK - "syntax error"
Psi |asl91 - OK - "syntax error"
Psi |asl92 - OK - "syntax error"
Psi |asl93 - OK - "syntax error"
Psi |asl94 - OK - "syntax error"
Psi |asl95 - OK - "syntax error"
Psi |asl96 - OK - "syntax error"
Psi |asl97 - OK - "syntax error"
Psi |asl98 - OK - "syntax error"
Psi |asl99 - OK - "syntax error"
~/ensino/private

Rho

~/ensino/private/E2/Rho ~/ensino/private
Rho |asl01 - OK - ""
Rho |asl02 - OK - ""
Rho |asl03 - OK - ""
Rho |asl04 - OK - ""
Rho |asl05 - OK - ""
Rho |asl06 - OK - ""
Rho |asl07 - OK - ""
Rho |asl08 - OK - ""
Rho |asl09 - OK - ""
Rho |asl100 - OK - ""
Rho |asl101 - OK - ""
Rho |asl102 - OK - ""
Rho |asl103 - OK - ""
Rho |asl104 - OK - ""
Rho |asl105 - OK - ""
Rho |asl106 - OK - ""
Rho |asl107 - OK - ""
Rho |asl108 - OK - ""
Rho |asl109 - OK - ""
Rho |asl10 - OK - ""
Rho |asl110 - OK - ""
Rho |asl111 - OK - ""
Rho |asl112 - OK - ""
Rho |asl113 - OK - ""
Rho |asl114 - OK - ""
Rho |asl115 - OK - ""
Rho |asl116 - OK - ""
Rho |asl117 - OK - ""
Rho |asl118 - OK - ""
Rho |asl119 - OK - ""
Rho |asl11 - OK - ""
Rho |asl120 - OK - ""
Rho |asl121 - OK - ""
Rho |asl122 - OK - ""
Rho |asl123 - OK - ""
Rho |asl124 - OK - ""
Rho |asl125 - OK - ""
